week_index,group,alpha,beta_mkt,beta_hml,beta_smb,sigma,week_return1,week_return4,week_return13
5,26,-0.000215884,-2.85E-05,-0.000334106,-0.000173089,0.00048587,0.987726543,0.993120944,0.99642285
5,27,-0.038940014,0.988975078,0.759078902,1.18661423,0.024397876,0.8956161,0.906910944,0.910252721
5,28,-0.071303524,0.295168112,0.197166237,0.211871638,0.027199697,0.916637219,0.95100187,0.936502021
5,29,-0.018069003,0.023600731,0.038377231,0.040105634,0.006574018,0.969364864,0.979738135,0.978045289
5,30,-0.03544749,0.058850711,0.045252432,0.031764139,0.011729079,0.952334125,0.951557031,0.950513522
6,1,0.091519459,2.93952737,2.052712241,3.472619096,0.246903869,0.998826057,0.987921235,0.970833584
6,2,0.010562299,2.497941723,4.731481627,2.540020822,0.041629738,1.086847392,1.076252955,1.076438365
6,3,0.021453114,4.636460619,6.283183675,7.140958366,0.090391078,1.131391625,1.085899477,1.071284662
6,4,0.015966067,2.245754437,-1.944578487,1.359707873,0.070301114,1.0546317,1.093336305,1.108981445
6,5,0.010182677,0.071090374,0.118442777,0.075002309,0.049251323,0.952157508,0.974510446,0.988921149
6,6,0.006704169,1.423827346,0.656010262,-1.325056209,0.033363582,1.039902083,1.029423306,1.029801742
6,7,0.01557409,0.298800875,-3.602620715,-1.92180475,0.081137229,1.041461076,1.057027011,1.042100053
6,8,0.007428233,0.148136261,0.162010147,-0.067472634,0.040362171,0.973602691,0.98774543,1.00001011
6,9,0.005931753,0.592552066,0.959242349,0.445826941,0.035085811,1.061156239,1.043398406,1.03330326
6,10,0.004140774,1.020629253,1.858892417,1.0265537,0.02961297,1.069663721,1.049057968,1.050621984
6,11,0.003128029,0.028753178,0.188253767,0.072145661,0.027756307,0.983858243,1.002722864,0.993907481
6,12,0.00622977,-0.000197981,2.184716828,0.999921127,0.066569177,1.05967917,1.011030321,1.01626502
6,13,0.003273066,1.908011255,-1.105164697,1.323810479,0.042002381,1.204102703,1.140532354,1.148284996
6,14,0.002235188,1.237022247,-1.33559363,0.096342006,0.030132863,1.087251243,1.121552823,1.10620038
6,15,0.001406666,0.135997482,0.183685741,0.121643292,0.019111536,1.018028297,1.02005541,1.019681913
6,16,0.006337463,0.131710972,2.003918787,1.028280379,0.108404785,1.095372186,1.070750529,1.082031181
6,17,0.000980033,1.035943017,-0.062933572,0.448277928,0.02461833,1.063161524,1.069948028,1.075327512
6,18,0.000689234,0.592638563,-0.007072951,-0.110966612,0.019367754,1.027088203,1.026962199,1.023604025
6,19,-3.50E-05,0.14974056,0.153634119,0.057290148,0.009538215,1.004345334,0.993137702,0.996521333
